BlacksmithID;ItemID;Material1;Material1Quantity;Material2;Materia2lQuantity;Material3;Material3Quantity;Cost
BS01;ITM31;ITM17;1;ITM02;30;ITM03;20;1000
BS02;ITM32;ITM18;1;ITM06;50;ITM07;40;3000
BS03;ITM33;ITM19;1;ITM10;40;ITM03;100;5000
BS04;ITM34;ITM22;1;ITM12;30;ITM06;80;7000
BS05;ITM35;ITM24;1;ITM13;100;ITM07;100;8000
BS06;ITM36;ITM25;1;ITM16;200;ITM02;200;10000
BS07;ITM38;ITM17;1;ITM01;20;ITM04;30;1000
BS08;ITM39;ITM18;1;ITM05;40;ITM03;50;3000
BS09;ITM40;ITM20;1;ITM08;50;ITM09;50;5000
BS10;ITM41;ITM21;1;ITM04;80;ITM01;70;7000
BS11;ITM42;ITM23;1;ITM14;100;ITM11;100;800
BS12;ITM43;ITM25;1;ITM15;200;ITM05;200;10000
BS13;ITM44;ITM17;1;ITM04;50;ITM03;50;1000
BS14;ITM45;ITM17;1;ITM02;50;ITM01;50;1000
BS15;ITM46;ITM18;1;ITM05;60;ITM06;80;3000
BS16;ITM47;ITM18;1;ITM05;80;ITM06;60;3000
BS17;ITM48;ITM19;1;ITM09;100;ITM10;80;5000
BS18;ITM49;ITM20;1;ITM10;80;ITM09;100;5000
BS19;ITM50;ITM21;1;ITM22;1;ITM12;100;8000
BS20;ITM51;ITM25;1;ITM26;1;ITM01;200;10000
